代码,名称,综合评分,动量分,技术分,基本面分,量能分,风险分,板块,已持仓
601872,招商轮船,59.5,56.2,52.5,90.0,70.0,32.0,其他,False
603779,威龙股份,59.4,100.0,53.5,15.0,85.0,44.0,其他,False
603650,彤程新材,59.4,51.5,67.5,55.0,70.0,64.0,其他,False
600376,首开股份,59.3,41.8,65.5,60.0,85.0,64.0,其他,False
001210,金房能源,59.3,71.5,53.5,70.0,45.0,52.0,其他,False
003018,金富科技,59.2,86.1,66.5,30.0,47.5,56.0,其他,False
000700,模塑科技,59.1,75.0,66.5,20.0,77.5,64.0,其他,False
600060,海信视像,59.1,60.9,56.5,50.0,70.0,72.0,其他,False
603956,威派格,59.1,60.3,65.5,30.0,85.0,72.0,其他,False
603305,旭升集团,59.0,48.8,67.5,60.0,55.0,72.0,其他,False
000551,创元科技,59.0,63.3,67.5,55.0,55.0,52.0,其他,False
601168,西部矿业,59.0,53.5,56.5,75.0,65.0,52.0,有色金属,False
002317,众生药业,59.0,85.5,56.5,45.0,47.5,52.0,其他,False
605488,福莱新材,59.0,65.6,73.5,35.0,70.0,52.0,其他,False
000006,深振业Ａ,58.9,67.4,73.5,35.0,65.0,52.0,其他,False
603158,腾龙股份,58.9,79.3,49.5,35.0,77.5,64.0,其他,False
600400,红豆股份,58.9,78.1,67.5,45.0,47.5,44.0,其他,False
601799,星宇股份,58.9,58.2,73.5,45.0,55.0,64.0,其他,False
603025,大豪科技,58.9,45.2,56.5,80.0,65.0,60.0,其他,False
603285,键邦股份,58.9,87.0,63.5,25.0,70.0,44.0,其他,False
002801,微光股份,58.8,54.9,73.5,25.0,85.0,72.0,其他,False
002636,金安国纪,58.8,59.4,52.5,85.0,65.0,32.0,印制电路板,False
603290,斯达半导,58.7,88.8,62.5,10.0,70.0,64.0,其他,False
603936,博敏电子,58.7,99.0,62.5,5.0,65.0,56.0,其他,False
001337,四川黄金,58.7,61.8,46.5,100.0,47.5,32.0,其他,False
600863,华能蒙电,58.5,88.4,54.5,10.0,85.0,64.0,其他,False
000880,潍柴重机,58.5,46.6,63.5,65.0,77.5,52.0,其他,False
002917,金奥博,58.5,57.0,54.5,45.0,85.0,72.0,其他,False
603267,鸿远电子,58.5,85.9,53.5,15.0,85.0,64.0,其他,False
002576,通达动力,58.5,45.6,73.5,40.0,77.5,72.0,其他,False
600903,贵州燃气,58.5,92.4,53.5,35.0,60.0,44.0,其他,False
600791,京能置业,58.4,84.2,49.5,45.0,55.0,56.0,其他,False
002050,三花智控,58.4,56.9,70.5,45.0,60.0,64.0,其他,False
601059,信达证券,58.4,43.2,61.5,60.0,65.0,80.0,其他,False
601126,四方股份,58.4,76.1,60.5,65.0,42.5,32.0,其他,False
600199,金种子酒,58.4,49.5,61.5,45.0,85.0,72.0,其他,False
002254,泰和新材,58.4,84.4,70.5,5.0,67.5,64.0,其他,False
600246,万通发展,58.4,97.8,56.5,5.0,77.5,56.0,其他,False
603040,新坐标,58.3,56.1,54.5,55.0,77.5,64.0,其他,False
601988,中国银行,58.3,46.5,73.5,40.0,65.0,80.0,其他,False
000688,国城矿业,58.3,60.4,52.5,95.0,55.0,20.0,有色金属,False
605055,迎丰股份,58.3,74.2,73.5,25.0,57.5,56.0,其他,False
605151,西上海,58.3,58.3,58.5,55.0,65.0,64.0,其他,False
601963,重庆银行,58.2,51.3,73.5,45.0,55.0,72.0,其他,False
001373,翔腾新材,58.2,62.2,77.5,25.0,65.0,64.0,其他,False
002354,天娱数科,58.1,56.7,67.5,60.0,65.0,40.0,其他,False
600360,华微电子,58.1,68.4,67.5,25.0,85.0,52.0,其他,False
002823,凯中精密,58.1,70.7,66.5,10.0,85.0,72.0,其他,False
603066,音飞储存,58.0,54.1,56.5,85.0,30.0,60.0,其他,False
605168,三人行,57.9,75.5,67.5,65.0,37.5,20.0,其他,False
002338,奥普光电,57.9,51.6,58.5,70.0,55.0,60.0,其他,False
600699,均胜电子,57.9,58.5,77.5,25.0,70.0,64.0,其他,False
002290,禾盛新材,57.9,90.0,73.0,5.0,55.0,56.0,其他,False
603678,火炬电子,57.8,66.0,54.5,35.0,85.0,64.0,元件、被动元件,False
002584,西陇科学,57.8,46.4,65.5,50.0,70.0,72.0,其他,False
603206,嘉环科技,57.8,67.2,67.5,25.0,85.0,52.0,其他,False
600719,大连热电,57.8,76.8,46.5,70.0,70.0,20.0,其他,False
603337,杰克科技,57.7,58.0,61.5,45.0,70.0,64.0,其他,False
002685,华东重机,57.7,58.1,64.5,70.0,57.5,32.0,其他,False
601777,千里科技,57.7,60.6,73.5,40.0,47.5,64.0,其他,False
603997,继峰股份,57.7,44.4,67.5,55.0,70.0,64.0,其他,False
603916,苏博特,57.6,73.9,60.5,50.0,65.0,32.0,其他,False
601163,三角轮胎,57.5,44.6,56.5,60.0,65.0,80.0,其他,False
603679,华体科技,57.5,69.4,60.5,40.0,55.0,64.0,其他,False
600162,香江控股,57.4,50.6,56.5,45.0,85.0,72.0,其他,False
603031,安孚科技,57.4,79.1,60.5,45.0,47.5,44.0,其他,False
002913,奥士康,57.2,73.2,64.5,30.0,65.0,52.0,印制电路板,False
002927,泰永长征,57.2,81.3,70.5,10.0,55.0,64.0,其他,False
000859,国风新材,57.2,59.5,54.5,40.0,85.0,64.0,其他,False
002897,意华股份,57.1,84.3,70.5,5.0,65.0,56.0,其他,False
600566,济川药业,57.1,58.0,85.0,20.0,47.5,72.0,其他,False
002079,苏州固锝,57.0,60.5,46.5,65.0,57.5,64.0,其他,False
603590,康辰药业,57.0,49.5,61.5,50.0,77.5,60.0,其他,False
605058,澳弘电子,57.0,59.2,73.0,25.0,70.0,64.0,其他,False
603637,镇海股份,57.0,73.9,64.5,20.0,65.0,64.0,其他,False
601918,新集能源,56.9,61.4,58.5,50.0,45.0,72.0,其他,False
002158,汉钟精机,56.9,77.7,63.5,30.0,77.5,32.0,其他,False
600575,淮河能源,56.9,53.9,61.5,55.0,55.0,64.0,其他,False
002179,中航光电,56.8,60.7,67.5,40.0,65.0,52.0,其他,False
000159,国际实业,56.8,55.3,61.5,45.0,67.5,64.0,其他,False
002957,科瑞技术,56.8,54.7,68.5,50.0,55.0,56.0,其他,False
000062,深圳华强,56.8,77.2,56.5,65.0,47.5,20.0,其他,False
000100,TCL科技,56.8,42.7,61.5,45.0,85.0,72.0,其他,False
002733,雄韬股份,56.7,67.3,52.5,55.0,70.0,40.0,其他,False
601636,旗滨集团,56.6,60.9,73.5,20.0,70.0,64.0,其他,False
600592,龙溪股份,56.6,45.9,65.5,35.0,85.0,72.0,其他,False
600895,张江高科,56.6,61.7,73.5,10.0,85.0,64.0,其他,False
002266,浙富控股,56.6,67.4,56.5,60.0,40.0,52.0,其他,False
600367,红星发展,56.6,71.0,73.5,10.0,65.0,64.0,其他,False
603120,肯特催化,56.5,74.6,57.5,45.0,55.0,44.0,其他,False
600909,华安证券,56.5,85.4,53.5,10.0,67.5,72.0,其他,False
600396,华电辽能,56.5,82.1,39.5,60.0,65.0,32.0,其他,False
600529,山东药玻,56.5,49.6,69.0,25.0,85.0,72.0,玻纤制造,False
003031,中瓷电子,56.5,67.6,58.5,70.0,40.0,32.0,其他,False
603626,科森科技,56.4,54.0,73.5,45.0,55.0,52.0,其他,False
603179,新泉股份,56.4,76.2,53.5,25.0,70.0,64.0,其他,False
600714,金瑞矿业,56.3,95.6,53.5,5.0,70.0,56.0,其他,False
002422,科伦药业,56.3,56.6,69.0,15.0,85.0,72.0,其他,False
603072,天和磁材,56.3,37.3,73.0,55.0,65.0,60.0,其他,False
600707,彩虹股份,56.3,86.7,62.5,5.0,70.0,56.0,其他,False
002457,青龙管业,56.3,67.1,54.5,30.0,77.5,64.0,其他,False
002845,同兴达,56.2,65.1,60.5,20.0,85.0,64.0,其他,False
600020,中原高速,56.2,41.4,65.5,50.0,57.5,80.0,其他,False
603773,沃格光电,56.2,99.4,52.5,20.0,65.0,32.0,其他,False
600207,安彩高科,56.1,73.5,70.5,5.0,70.0,64.0,其他,False
000801,四川九洲,56.1,30.0,73.0,60.0,70.0,60.0,其他,False
603601,再升科技,56.1,77.3,73.5,5.0,65.0,56.0,其他,False
002967,广电计量,56.1,39.0,56.5,65.0,65.0,72.0,其他,False
603211,晋拓股份,56.1,77.0,58.5,25.0,55.0,64.0,其他,False
002635,安洁科技,55.9,61.5,66.5,20.0,77.5,64.0,其他,False
600458,时代新材,55.9,42.3,61.5,50.0,70.0,72.0,其他,False
605588,冠石科技,55.8,64.5,70.5,5.0,77.5,72.0,其他,False
603662,柯力传感,55.8,54.1,53.5,60.0,45.0,72.0,其他,False
002174,游族网络,55.8,62.0,60.5,45.0,60.0,52.0,其他,False
605589,圣泉集团,55.8,77.2,67.5,25.0,55.0,44.0,其他,False
600611,大众交通,55.7,84.6,50.5,5.0,85.0,64.0,其他,False
002938,鹏鼎控股,55.7,100.0,53.5,10.0,47.5,56.0,其他,False
002980,华盛昌,55.7,100.0,53.5,10.0,47.5,56.0,其他,False
002906,华阳集团,55.7,40.1,69.0,45.0,65.0,72.0,其他,False
600388,龙净环保,55.7,41.9,61.5,65.0,57.5,60.0,其他,False
603706,东方环宇,55.6,49.2,67.5,65.0,42.5,48.0,其他,False
001225,和泰机电,55.6,60.3,54.5,25.0,85.0,72.0,其他,False
605123,派克新材,55.6,52.4,67.5,50.0,42.5,64.0,其他,False
002803,吉宏股份,55.6,65.4,46.5,65.0,47.5,52.0,其他,False
603333,尚纬股份,55.6,52.0,67.5,65.0,45.0,40.0,其他,False
002943,宇晶股份,55.6,69.9,67.5,35.0,65.0,32.0,其他,False
600382,XD广东明,55.6,52.5,61.5,60.0,60.0,44.0,其他,False
600783,鲁信创投,55.5,58.2,73.5,40.0,55.0,44.0,其他,False
002571,德力股份,55.5,40.8,65.5,50.0,70.0,64.0,其他,False
601177,杭齿前进,55.5,49.5,67.5,50.0,47.5,64.0,其他,False
600378,昊华科技,55.5,39.6,64.5,70.0,55.0,52.0,其他,False
603190,亚通精工,55.4,47.1,67.5,60.0,40.0,60.0,其他,False
002815,崇达技术,55.4,55.9,66.0,25.0,77.5,64.0,其他,False
002753,永东股份,55.4,45.2,69.0,25.0,85.0,72.0,其他,False
603099,长白山,55.4,43.0,55.5,65.0,65.0,60.0,其他,False
600415,小商品城,55.3,43.0,67.5,60.0,47.5,60.0,其他,False
002090,金智科技,55.3,41.0,73.0,45.0,65.0,60.0,其他,False
605133,嵘泰股份,55.3,70.1,56.5,40.0,55.0,52.0,其他,False
002768,国恩股份,55.3,59.3,60.5,60.0,50.0,40.0,其他,False
002283,天润工业,55.2,59.7,58.5,65.0,40.0,44.0,其他,False
002012,凯恩股份,55.2,60.7,56.5,20.0,85.0,72.0,其他,False
601222,林洋能源,55.2,50.0,67.5,40.0,65.0,60.0,其他,False
002841,视源股份,55.1,44.7,46.5,65.0,65.0,72.0,其他,False
002126,银轮股份,55.0,76.9,56.5,30.0,55.0,52.0,其他,False
002452,长高电新,55.0,55.7,73.5,40.0,47.5,52.0,其他,False
603045,福达合金,55.0,74.6,39.5,85.0,40.0,20.0,其他,False
002826,易明医药,54.9,32.4,57.0,75.0,85.0,40.0,其他,False
603281,江瀚新材,54.9,57.7,63.5,45.0,55.0,52.0,其他,False
600522,中天科技,54.9,72.1,51.0,65.0,40.0,32.0,其他,False
002025,航天电器,54.9,64.3,52.5,50.0,65.0,44.0,其他,False
603527,众源新材,54.9,57.5,56.5,65.0,37.5,52.0,铜、有色金属、工业金属,False
600449,宁夏建材,54.8,61.0,67.5,35.0,55.0,52.0,其他,False
605128,上海沿浦,54.8,44.1,61.5,50.0,65.0,64.0,其他,False
603416,信捷电气,54.8,60.3,67.5,45.0,40.0,52.0,其他,False
603578,三星新材,54.8,62.3,60.5,25.0,70.0,64.0,其他,False
603596,伯特利,54.8,53.9,61.5,20.0,85.0,72.0,其他,False
000532,华金资本,54.8,46.1,61.5,30.0,85.0,72.0,其他,False
603112,华翔股份,54.8,57.2,56.5,40.0,65.0,64.0,其他,False
601133,柏诚股份,54.7,88.7,53.5,5.0,70.0,56.0,其他,False
002164,宁波东力,54.7,48.9,67.5,50.0,55.0,52.0,其他,False
603587,地素时尚,54.7,41.8,56.5,60.0,55.0,72.0,其他,False
000810,创维数字,54.7,43.2,52.5,65.0,65.0,60.0,其他,False
601991,大唐发电,54.7,73.3,60.5,55.0,45.0,20.0,其他,False
600234,科新发展,54.7,78.9,56.5,30.0,70.0,32.0,其他,False
